parent_directory,file_name,id,tx,sex,phase,trial,escape_arm,start_datetime
EHRAM Cohort 1 DARPA videos,Test 139.mp4,3211,GHSD,F,train_3,2,7,2025-11-20T15:51:51
EHRAM Cohort 1 DARPA videos,Test 140.mp4,3212,GHSD,F,train_3,2,1,2025-11-20T15:55:50
EHRAM Cohort 1 DARPA videos,Test 141.mp4,3213,GHSD,F,train_3,2,7,2025-11-20T16:00:33
EHRAM Cohort 1 DARPA videos,Test 142.mp4,3214,GHSD,F,train_3,2,7,2025-11-20T16:04:57
EHRAM Cohort 1 DARPA videos,Test 143.mp4,3208,NoSD,F,train_3,3,2,2025-11-20T16:08:55
EHRAM Cohort 1 DARPA videos,Test 144.mp4,3209,GHSD,F,train_3,3,2,2025-11-20T16:13:06
EHRAM Cohort 1 DARPA videos,Test 145.mp4,3210,GHSD,F,train_3,3,2,2025-11-20T16:17:28
EHRAM Cohort 1 DARPA videos,Test 146.mp4,3211,GHSD,F,train_3,3,6,2025-11-20T16:21:18
EHRAM Cohort 1 DARPA videos,Test 147.mp4,3212,GHSD,F,train_3,3,0,2025-11-20T16:24:54
EHRAM Cohort 1 DARPA videos,Test 148.mp4,3213,GHSD,F,train_3,3,5,2025-11-20T16:31:17
EHRAM Cohort 1 DARPA videos,Test 149.mp4,3214,GHSD,F,train_3,3,3,2025-11-20T16:34:38
EHRAM Cohort 1 DARPA videos,Test 150.mp4,3208,NoSD,F,train_3,4,7,2025-11-20T16:39:52
EHRAM Cohort 1 DARPA videos,Test 151.mp4,3209,GHSD,F,train_3,4,1,2025-11-20T16:43:43
EHRAM Cohort 1 DARPA videos,Test 152.mp4,3210,GHSD,F,train_3,4,2,2025-11-20T16:47:09
EHRAM Cohort 1 DARPA videos,Test 153.mp4,3211,GHSD,F,train_3,4,5,2025-11-20T16:51:24
EHRAM Cohort 1 DARPA videos,Test 154.mp4,3212,GHSD,F,train_3,4,7,2025-11-20T16:55:59
EHRAM Cohort 1 DARPA videos,Test 155.mp4,3213,GHSD,F,train_3,4,1,2025-11-20T17:00:01
EHRAM Cohort 1 DARPA videos,Test 156.mp4,3214,GHSD,F,train_3,4,5,2025-11-20T17:03:25
EHRAM Cohort 1 DARPA videos,Test 157.mp4,3201,RBSD,F,SD,1,1,2025-11-21T12:54:45
EHRAM Cohort 1 DARPA videos,Test 158.mp4,3202,RBSD,F,SD,1,1,2025-11-21T12:58:37
EHRAM Cohort 1 DARPA videos,Test 159.mp4,3203,RBSD,F,SD,1,5,2025-11-21T13:02:41
EHRAM Cohort 1 DARPA videos,Test 160.mp4,3205,RBSD,F,SD,1,5,2025-11-21T13:06:50
EHRAM Cohort 1 DARPA videos,Test 161.mp4,3206,RBSD,F,SD,1,3,2025-11-21T13:11:20
EHRAM Cohort 1 DARPA videos,Test 162.mp4,3207,RBSD,F,SD,1,4,2025-11-21T13:14:51
EHRAM Cohort 1 DARPA videos,Test 163.mp4,3201,RBSD,F,SD,2,3,2025-11-21T13:20:15
